"animal_number","lifenumber","responder","location","visit_time","duration","state","weight","feed_intake"
"70634149","ID088","9.82091E+14","1706","2022/11/09 15:34","714","0","38500","192"
"70632844","ID039","9.82091E+14","1706","2022/11/09 15:48","117","0","31500","43"
"70639126","ID090","9.82091E+14","1706","2022/11/09 15:50","92","0","25000","27"
"70634149","ID088","9.82091E+14","1706","2022/11/09 15:51","622","0","38500","208"
"70639121","ID064","982091101339121a","1706","2022/11/09 16:02","721","0","36500","263"
"70639126","ID090","9.82091E+14","1706","2022/11/09 16:14","130","0","25000","50"
"70632844","ID039","9.82091E+14","1706","2022/11/09 16:16","480","0","32000","288"
"70639209","ID084","9.82091E+14","1706","2022/11/09 16:25","3616","0","40500","833"
"70621256","ID072","9.82091E+14","1706","2022/11/09 17:26","1031","0","54000","486"
"70639126","ID090","9.82091E+14","1706","2022/11/09 17:43","115","0","58000","69"
"70639170","ID016","9.82091E+14","1706","2022/11/09 17:45","460","0","36500","151"
"70639126","ID090","9.82091E+14","1706","2022/11/09 17:53","9","0",,"1"
"70634149","ID088","9.82091E+14","1706","2022/11/09 17:53","1128","0","39000","330"
"70632844","ID039","9.82091E+14","1706","2022/11/09 18:13","285","0","32000","104"
"70634149","ID088","9.82091E+14","1706","2022/11/09 18:30","465","0","39500","100"
"70639126","ID090","9.82091E+14","1706","2022/11/09 19:08","209","0","25000","100"
"70639170","ID016","9.82091E+14","1706","2022/11/09 19:11","1114","0","37000","372"
"70639126","ID090","9.82091E+14","1706","2022/11/09 19:30","90","0","25000","26"
"70639173","ID054","9.82091E+14","1706","2022/11/09 19:32","327","0","51500","148"
"70639173","ID054","9.82091E+14","1706","2022/11/09 19:40","246","0","47500","230"
"70639120","ID013","9.82091E+14","1706","2022/11/09 19:44","253","0","48000","110"
"70639120","ID013","9.82091E+14","1706","2022/11/09 19:48","575","0","47250","195"
"70639120","ID013","9.82091E+14","1706","2022/11/09 19:58","45","0",,"30"
"70639120","ID013","9.82091E+14","1706","2022/11/09 19:59","153","0","44500","97"
"70639120","ID013","9.82091E+14","1706","2022/11/09 20:02","135","0","48500","44"
"70639120","ID013","9.82091E+14","1706","2022/11/09 20:05","2","0",,"9"
"70639170","ID016","9.82091E+14","1706","2022/11/09 20:06","39","0",,"11"
"70639170","ID016","9.82091E+14","1706","2022/11/09 20:07","5","0",,"4"
"70639170","ID016","9.82091E+14","1706","2022/11/09 20:07","9","0",,"2"
"70639170","ID016","9.82091E+14","1706","2022/11/09 20:08","21","0",,"15"
"70639170","ID016","9.82091E+14","1706","2022/11/09 20:09","7","0",,"4"
"70639170","ID016","9.82091E+14","1706","2022/11/09 20:09","317","0","37500","107"
"70639170","ID016","9.82091E+14","1706","2022/11/09 20:15","30","0",,"21"
"70639170","ID016","9.82091E+14","1706","2022/11/09 20:16","218","0","37500","90"
"70639126","ID090","9.82091E+14","1706","2022/11/09 20:20","186","0","25000","104"
"70639192","ID038","9.82091E+14","1706","2022/11/09 20:23","690","0","39500","182"
"70632844","ID039","9.82091E+14","1706","2022/11/09 20:37","203","0","32500","19"
"70634874","ID065","9.82091E+14","1706","2022/11/09 20:50","530","0","35500","229"
"70621256","ID072","9.82091E+14","1706","2022/11/09 20:59","34","0",,"2"
"70621256","ID072","9.82091E+14","1706","2022/11/09 21:00","833","0","36500","337"
"70632844","ID039","9.82091E+14","1706","2022/11/09 22:01","819","0","32500","379"
"70634149","ID088","9.82091E+14","1706","2022/11/09 22:16","20","0",,"2"
"70639121","ID064","982091101339121a","1706","2022/11/09 22:28","308","0","36000","136"
"70639192","ID038","9.82091E+14","1706","2022/11/09 22:33","504","0","39500","78"
"70639126","ID090","9.82091E+14","1706","2022/11/09 22:43","444","0","25000","153"
"70639192","ID038","9.82091E+14","1706","2022/11/09 23:41","1521","0","40000","471"
"70634874","ID065","9.82091E+14","1706","2022/11/10 00:08","747","0","36000","140"
"70639192","ID038","9.82091E+14","1706","2022/11/10 00:23","587","0","40000","151"
"70639173","ID054","9.82091E+14","1706","2022/11/10 00:40","315","0","35500","149"
"70634874","ID065","9.82091E+14","1706","2022/11/10 00:45","487","0","36000","131"
"70621256","ID072","9.82091E+14","1706","2022/11/10 00:57","163","0","36500","1"
"70621256","ID072","9.82091E+14","1706","2022/11/10 01:46","677","0","37000","279"
"70639121","ID064","982091101339121a","1706","2022/11/10 01:58","616","0","36000","195"
"70639192","ID038","9.82091E+14","1706","2022/11/10 02:10","17","0",,"1"
"70639126","ID090","9.82091E+14","1706","2022/11/10 02:21","125","0","25500","19"
"70632844","ID039","9.82091E+14","1706","2022/11/10 02:23","282","0","33500","126"
"70639192","ID038","9.82091E+14","1706","2022/11/10 03:09","768","0","40500","178"
"70632844","ID039","9.82091E+14","1706","2022/11/10 03:23","361","0","33500","181"
"70639170","ID016","9.82091E+14","1706","2022/11/10 03:32","587","0","38000","178"
"70634874","ID065","9.82091E+14","1706","2022/11/10 04:12","604","0","36000","176"
"70639173","ID054","9.82091E+14","1706","2022/11/10 04:23","169","0","35500","37"
"70639126","ID090","9.82091E+14","1706","2022/11/10 04:28","352","0","25500","128"
"70634874","ID065","9.82091E+14","1706","2022/11/10 04:34","496","0","36000","224"
"70639209","ID084","9.82091E+14","1706","2022/11/10 06:03","987","0","40000","190"
"70639126","ID090","9.82091E+14","1706","2022/11/10 06:20","197","0","25500","75"
"70639121","ID064","982091101339121a","1706","2022/11/10 06:36","696","0","35500","318"
"70634149","ID088","9.82091E+14","1706","2022/11/10 06:47","390","0","37500","66"
"70634149","ID088","9.82091E+14","1706","2022/11/10 06:56","1317","0","38000","277"
"70634874","ID065","9.82091E+14","1706","2022/11/10 07:40","187","0","36500","49"
"70639209","ID084","9.82091E+14","1706","2022/11/10 07:43","1229","0","40500","187"
"70639192","ID038","9.82091E+14","1706","2022/11/10 08:04","979","0","40500","116"
"70639120","ID013","9.82091E+14","1706","2022/11/10 08:21","564","0","32500","148"
"70634874","ID065","9.82091E+14","1706","2022/11/10 08:31","459","0","52500","213"
"70634874","ID065","9.82091E+14","1706","2022/11/10 08:39","146","0","47500","32"
"70639120","ID013","9.82091E+14","1706","2022/11/10 08:42","1431","0","32500","308"
"70634874","ID065","9.82091E+14","1706","2022/11/10 09:07","405","0","37000","153"
"70639192","ID038","9.82091E+14","1706","2022/11/10 09:55","1286","0","40500","240"
"70639209","ID084","9.82091E+14","1706","2022/11/10 10:21","2102","0","40500","437"
"70621256","ID072","9.82091E+14","1706","2022/11/10 10:56","944","0","55500","203"
"70639192","ID038","9.82091E+14","1706","2022/11/10 11:12","127","0","58250","21"
"70639126","ID090","9.82091E+14","1706","2022/11/10 11:14","8","0",,"5"
"70634149","ID088","9.82091E+14","1706","2022/11/10 11:15","1023","0","38500","245"
"70634149","ID088","9.82091E+14","1706","2022/11/10 11:34","1248","0","38500","292"
"70639192","ID038","9.82091E+14","1706","2022/11/10 11:55","1055","0","40500","268"
"70639170","ID016","9.82091E+14","1706","2022/11/10 12:13","1141","0","52500","345"
"70639173","ID054","9.82091E+14","1706","2022/11/10 12:34","599","0","53500","235"
"70639173","ID054","9.82091E+14","1706","2022/11/10 12:45","552","0","43000","259"
"70639121","ID064","982091101339121a","1706","2022/11/10 13:25","1451","0","51500","710"
"70639120","ID013","9.82091E+14","1706","2022/11/10 13:50","932","0","47500","248"
"70634874","ID065","9.82091E+14","1706","2022/11/10 14:05","1164","0","53000","529"
"70621256","ID072","9.82091E+14","1706","2022/11/10 14:25","1422","0","36000","576"
"70639209","ID084","9.82091E+14","1706","2022/11/10 14:49","699","0","54500","173"
"70639209","ID084","9.82091E+14","1706","2022/11/10 15:01","288","0","56500","75"
"70639209","ID084","9.82091E+14","1706","2022/11/10 15:05","29","0",,"2"
"70639170","ID016","9.82091E+14","1706","2022/11/10 15:06","1110","0","37500","371"
"70639209","ID084","9.82091E+14","1706","2022/11/10 15:25","805","0","41500","190"
"70639120","ID013","9.82091E+14","1706","2022/11/10 15:39","164","0","33500","69"
"70634149","ID088","9.82091E+14","1706","2022/11/10 15:41","1287","0","39500","365"
"70639209","ID084","9.82091E+14","1706","2022/11/10 16:03","1994","0","55500","491"
"70639126","ID090","9.82091E+14","1706","2022/11/10 16:37","159","0","45500","80"
"70639120","ID013","9.82091E+14","1706","2022/11/10 16:40","4","0",,"6"
"70639126","ID090","9.82091E+14","1706","2022/11/10 16:40","70","0","53000","31"
"70639120","ID013","9.82091E+14","1706","2022/11/10 16:41","127","0","56500","51"
"70634874","ID065","9.82091E+14","1706","2022/11/10 16:43","346","0","58000","199"
"70632844","ID039","9.82091E+14","1706","2022/11/10 16:49","105","0","64000","66"
"70639120","ID013","9.82091E+14","1706","2022/11/10 16:51","4","0",,"1"
"70632844","ID039","9.82091E+14","1706","2022/11/10 16:51","19","0",,"12"
"70639120","ID013","9.82091E+14","1706","2022/11/10 16:51","3","0",,"5"
"70632844","ID039","9.82091E+14","1706","2022/11/10 16:51","7","0",,"5"
"70639120","ID013","9.82091E+14","1706","2022/11/10 16:51","4","0",,"2"
"70632844","ID039","9.82091E+14","1706","2022/11/10 16:52","264","0","47500","131"
"70639192","ID038","9.82091E+14","1706","2022/11/10 16:56","1335","0","56500","428"
"70639173","ID054","9.82091E+14","1706","2022/11/10 17:28","1321","0","35500","629"
"70639173","ID054","9.82091E+14","1706","2022/11/10 17:52","5","0",,"5"
"70639120","ID013","9.82091E+14","1706","2022/11/10 17:53","69","0","43000","38"
"70639120","ID013","9.82091E+14","1706","2022/11/10 17:54","196","0","45500","107"
"70639120","ID013","9.82091E+14","1706","2022/11/10 17:58","69","0","50000","23"
"70639120","ID013","9.82091E+14","1706","2022/11/10 17:59","932","0","34000","348"
"70634149","ID088","9.82091E+14","1706","2022/11/10 18:19","363","0","40500","56"
"70634149","ID088","9.82091E+14","1706","2022/11/10 18:25","88","0","41000","20"
"70634149","ID088","9.82091E+14","1706","2022/11/10 18:28","850","0","40500","267"
"70632844","ID039","9.82091E+14","1706","2022/11/10 18:44","194","0","33000","86"
"70639170","ID016","9.82091E+14","1706","2022/11/10 18:58","71","0","56000","30"
"70639126","ID090","9.82091E+14","1706","2022/11/10 18:59","123","0","45500","78"
"70639170","ID016","9.82091E+14","1706","2022/11/10 19:02","612","0","38500","222"
"70639126","ID090","9.82091E+14","1706","2022/11/10 19:12","449","0","25000","193"
"70632844","ID039","9.82091E+14","1706","2022/11/10 19:20","153","0","46000","65"
"70632844","ID039","9.82091E+14","1706","2022/11/10 19:24","190","0","33000","163"
"70639192","ID038","9.82091E+14","1706","2022/11/10 19:35","755","0","41500","160"
"70621256","ID072","9.82091E+14","1706","2022/11/10 20:08","520","0","36500","188"
"70639170","ID016","9.82091E+14","1706","2022/11/10 20:16","629","0","39000","235"
"70639173","ID054","9.82091E+14","1706","2022/11/10 20:29","484","0","36500","170"
"70639126","ID090","9.82091E+14","1706","2022/11/10 21:21","242","0","25500","84"
"70639170","ID016","9.82091E+14","1706","2022/11/10 21:25","449","0","39500","144"
"70639126","ID090","9.82091E+14","1706","2022/11/10 21:33","110","0","46750","91"
"70632844","ID039","9.82091E+14","1706","2022/11/10 21:46","556","0","33500","233"
"70639121","ID064","982091101339121a","1706","2022/11/10 21:56","508","0","37000","259"
"70621256","ID072","9.82091E+14","1706","2022/11/10 22:05","914","0","36000","474"
"70634149","ID088","9.82091E+14","1706","2022/11/10 22:22","886","0","40000","281"
"70639170","ID016","9.82091E+14","1706","2022/11/10 22:48","445","0","39500","149"
"70639170","ID016","9.82091E+14","1706","2022/11/10 22:58","44","0",,"13"
"70639192","ID038","9.82091E+14","1706","2022/11/10 23:00","1630","0","41000","513"
"70639126","ID090","9.82091E+14","1706","2022/11/10 23:28","226","0","25500","85"
"70639126","ID090","9.82091E+14","1706","2022/11/10 23:33","316","0","25500","125"
"70632844","ID039","9.82091E+14","1706","2022/11/10 23:39","354","0","34000","169"
"70639192","ID038","9.82091E+14","1706","2022/11/11 00:22","722","0","41500","148"
"70634874","ID065","9.82091E+14","1706","2022/11/11 00:35","457","0","40000","205"
"70634874","ID065","9.82091E+14","1706","2022/11/11 00:43","32","0",,"19"
"70634874","ID065","9.82091E+14","1706","2022/11/11 00:44","10","0",,"9"
"70634874","ID065","9.82091E+14","1706","2022/11/11 00:44","4","0",,"10"
"70634874","ID065","9.82091E+14","1706","2022/11/11 00:44","9","0",,"2"
"70634874","ID065","9.82091E+14","1706","2022/11/11 00:45","11","0",,"4"
"70634874","ID065","9.82091E+14","1706","2022/11/11 00:45","9","0",,"11"
"70634874","ID065","9.82091E+14","1706","2022/11/11 00:45","223","0","38000","86"
"70639209","ID084","9.82091E+14","1706","2022/11/11 00:52","1624","0","42000","362"
"70621256","ID072","9.82091E+14","1706","2022/11/11 01:22","484","0","38000","229"
"70639121","ID064","982091101339121a","1706","2022/11/11 01:32","425","0","37500","259"
"70639192","ID038","9.82091E+14","1706","2022/11/11 02:24","755","0","42000","234"
"70632844","ID039","9.82091E+14","1706","2022/11/11 03:05","207","0","34500","70"
"70632844","ID039","9.82091E+14","1706","2022/11/11 03:27","313","0","34000","117"
"70639170","ID016","9.82091E+14","1706","2022/11/11 03:56","430","0","39500","134"
"70634874","ID065","9.82091E+14","1706","2022/11/11 04:28","239","0","38000","32"
"70634874","ID065","9.82091E+14","1706","2022/11/11 06:01","230","0","38000","71"
"70632844","ID039","9.82091E+14","1706","2022/11/11 06:06","505","0","34500","179"
"70621256","ID072","9.82091E+14","1706","2022/11/11 06:15","285","0","37000","145"
"70639126","ID090","9.82091E+14","1706","2022/11/11 06:20","1079","0","25500","295"
"70639120","ID013","9.82091E+14","1706","2022/11/11 06:43","206","0","33500","62"
"70639192","ID038","9.82091E+14","1706","2022/11/11 07:09","803","0","42000","280"
"70632844","ID039","9.82091E+14","1706","2022/11/11 07:38","288","0","34000","82"
"70639173","ID054","9.82091E+14","1706","2022/11/11 07:45","670","0","36500","296"
"70639209","ID084","9.82091E+14","1706","2022/11/11 07:59","256","0","42000","47"
"70634149","ID088","9.82091E+14","1706","2022/11/11 08:04","1275","0","39500","199"
"70639121","ID064","982091101339121a","1706","2022/11/11 08:29","831","0","37000","269"
"70634874","ID065","9.82091E+14","1706","2022/11/11 08:44","305","0","38000","100"
"70639209","ID084","9.82091E+14","1706","2022/11/11 08:50","47","0",,"9"
"70634149","ID088","9.82091E+14","1706","2022/11/11 09:04","50","0",,"3"
"70634149","ID088","9.82091E+14","1706","2022/11/11 09:05","1165","0","40000","358"
"70634149","ID088","9.82091E+14","1706","2022/11/11 09:27","204","0","40000","14"
"70639209","ID084","9.82091E+14","1706","2022/11/11 09:30","3178","0","41500","768"
"70634874","ID065","9.82091E+14","1706","2022/11/11 10:25","458","0","38000","195"
"70639120","ID013","9.82091E+14","1706","2022/11/11 10:33","267","0","51250","67"
"70639170","ID016","9.82091E+14","1706","2022/11/11 10:37","1056","0","38500","357"
"70639120","ID013","9.82091E+14","1706","2022/11/11 10:55","244","0","33000","91"
"70639192","ID038","9.82091E+14","1706","2022/11/11 11:00","1316","0","42000","476"
"70639173","ID054","9.82091E+14","1706","2022/11/11 11:36","577","0","36500","266"
"70639121","ID064","982091101339121a","1706","2022/11/11 12:14","303","0","37500","149"
"70634874","ID065","9.82091E+14","1706","2022/11/11 12:23","586","0","38500","262"
"70639120","ID013","9.82091E+14","1706","2022/11/11 12:34","52","0",,"27"
"70639120","ID013","9.82091E+14","1706","2022/11/11 12:35","126","0","42500","52"
"70639120","ID013","9.82091E+14","1706","2022/11/11 12:37","1485","0","34000","454"
"70621256","ID072","9.82091E+14","1706","2022/11/11 13:02","748","0","52500","305"
"70639121","ID064","982091101339121a","1706","2022/11/11 13:17","42","0",,"32"
"70634149","ID088","9.82091E+14","1706","2022/11/11 13:23","1108","0","40000","227"
"70639192","ID038","9.82091E+14","1706","2022/11/11 13:43","51","0",,"10"
"70639121","ID064","982091101339121a","1706","2022/11/11 13:45","686","0","38000","304"
"70639126","ID090","9.82091E+14","1706","2022/11/11 14:06","128","0","53000","37"
"70621256","ID072","9.82091E+14","1706","2022/11/11 14:26","789","0","37500","360"
"70639126","ID090","9.82091E+14","1706","2022/11/11 14:39","531","0","25500","197"
"70639170","ID016","9.82091E+14","1706","2022/11/11 14:49","935","0","39000","315"
"70639173","ID054","9.82091E+14","1706","2022/11/11 15:05","1200","0","36500","502"
"70634874","ID065","9.82091E+14","1706","2022/11/11 15:25","245","0","38500","9"
"70639209","ID084","9.82091E+14","1706","2022/11/11 15:30","773","0","43500","139"
"70634149","ID088","9.82091E+14","1706","2022/11/11 15:43","1459","0","40500","395"
"70639209","ID084","9.82091E+14","1706","2022/11/11 16:08","2337","0","43500","572"
"70639170","ID016","9.82091E+14","1706","2022/11/11 16:49","132","0","39500","44"
"70634149","ID088","9.82091E+14","1706","2022/11/11 16:52","336","0","59500","101"
"70639120","ID013","9.82091E+14","1706","2022/11/11 16:58","155","0","55500","64"
"70639192","ID038","9.82091E+14","1706","2022/11/11 17:01","1723","0","42000","596"
"70639209","ID084","9.82091E+14","1706","2022/11/11 17:31","660","0","44000","171"
"70639173","ID054","9.82091E+14","1706","2022/11/11 17:57","172","0","37500","70"
"70639170","ID016","9.82091E+14","1706","2022/11/11 18:00","311","0","39500","73"
"70634149","ID088","9.82091E+14","1706","2022/11/11 18:06","1217","0","42000","385"
"70621256","ID072","9.82091E+14","1706","2022/11/11 18:27","686","0","37500","314"
"70639120","ID013","9.82091E+14","1706","2022/11/11 18:39","1465","0","34000","566"
"70639126","ID090","9.82091E+14","1706","2022/11/11 19:04","31","0",,"15"
"70634149","ID088","9.82091E+14","1706","2022/11/11 19:05","524","0","42000","128"
"70634149","ID088","9.82091E+14","1706","2022/11/11 19:13","14","0",,"3"
"70639173","ID054","9.82091E+14","1706","2022/11/11 19:34","189","0","37000","107"
"70634149","ID088","9.82091E+14","1706","2022/11/11 19:37","677","0","41500","149"
"70639170","ID016","9.82091E+14","1706","2022/11/11 19:49","800","0","39500","291"
"70639173","ID054","9.82091E+14","1706","2022/11/11 20:03","464","0","37000","212"
"70639173","ID054","9.82091E+14","1706","2022/11/11 20:14","509","0","37500","223"
"70639173","ID054","9.82091E+14","1706","2022/11/11 20:24","48","0",,"7"
"70639173","ID054","9.82091E+14","1706","2022/11/11 20:41","291","0","38000","101"
"70639126","ID090","9.82091E+14","1706","2022/11/11 20:46","620","0","25500","167"
"70632844","ID039","9.82091E+14","1706","2022/11/11 21:00","400","0","33000","223"
"70639126","ID090","9.82091E+14","1706","2022/11/11 21:07","18","0",,"8"
"70639170","ID016","9.82091E+14","1706","2022/11/11 21:08","448","0","40000","157"
"70634874","ID065","9.82091E+14","1706","2022/11/11 21:15","356","0","38500","175"
"70621256","ID072","9.82091E+14","1706","2022/11/11 21:21","502","0","38000","224"
"70639209","ID084","9.82091E+14","1706","2022/11/11 21:30","1433","0","44000","366"
"70639126","ID090","9.82091E+14","1706","2022/11/11 22:11","471","0","25500","163"
"70639170","ID016","9.82091E+14","1706","2022/11/11 22:20","411","0","40000","163"
"70639192","ID038","9.82091E+14","1706","2022/11/11 22:28","533","0","42500","158"
"70634874","ID065","9.82091E+14","1706","2022/11/11 22:39","256","0","38500","89"
"70639121","ID064","982091101339121a","1706","2022/11/11 23:33","699","0","37500","334"
"70639126","ID090","9.82091E+14","1706","2022/11/11 23:45","475","0","26000","135"
"70632844","ID039","9.82091E+14","1706","2022/11/12 00:19","979","0","33500","384"
"70639192","ID038","9.82091E+14","1706","2022/11/12 00:36","872","0","42500","259"
"70639170","ID016","9.82091E+14","1706","2022/11/12 00:59","313","0","40500","104"
"70621256","ID072","9.82091E+14","1706","2022/11/12 01:06","552","0","39000","292"
"70639192","ID038","9.82091E+14","1706","2022/11/12 01:32","862","0","42500","291"
"70639173","ID054","9.82091E+14","1706","2022/11/12 02:00","195","0","38000","92"
"70634874","ID065","9.82091E+14","1706","2022/11/12 02:16","419","0","38500","124"
"70621256","ID072","9.82091E+14","1706","2022/11/12 02:24","297","0","38500","78"
"70639126","ID090","9.82091E+14","1706","2022/11/12 02:30","122","0","26000","25"
"70639192","ID038","9.82091E+14","1706","2022/11/12 02:43","522","0","43000","145"
"70632844","ID039","9.82091E+14","1706","2022/11/12 03:05","299","0","34500","80"
"70639192","ID038","9.82091E+14","1706","2022/11/12 03:18","50","0",,"4"
"70634874","ID065","9.82091E+14","1706","2022/11/12 03:25","371","0","38500","86"
"70632844","ID039","9.82091E+14","1706","2022/11/12 03:32","169","0","34000","43"
"70639170","ID016","9.82091E+14","1706","2022/11/12 03:43","602","0","41000","204"
"70621256","ID072","9.82091E+14","1706","2022/11/12 03:54","552","0","39000","257"
"70632844","ID039","9.82091E+14","1706","2022/11/12 04:33","82","0","34000","2"
"70639173","ID054","9.82091E+14","1706","2022/11/12 04:38","353","0","38500","168"
"70639120","ID013","9.82091E+14","1706","2022/11/12 05:10","969","0","34500","341"
"70634874","ID065","9.82091E+14","1706","2022/11/12 05:27","627","0","38500","200"
"70634874","ID065","9.82091E+14","1706","2022/11/12 05:43","44","0",,"1"
"70639192","ID038","9.82091E+14","1706","2022/11/12 05:50","772","0","43500","230"
"70639126","ID090","9.82091E+14","1706","2022/11/12 07:31","382","0","25500","164"
"70632844","ID039","9.82091E+14","1706","2022/11/12 07:38","128","0","34000","52"
"70639126","ID090","9.82091E+14","1706","2022/11/12 07:40","81","0","37750","29"
"70634149","ID088","9.82091E+14","1706","2022/11/12 07:42","350","0","40000","42"
"70634149","ID088","9.82091E+14","1706","2022/11/12 07:51","1336","0","40500","371"
"70634149","ID088","9.82091E+14","1706","2022/11/12 08:16","60","0",,"1"
"70634874","ID065","9.82091E+14","1706","2022/11/12 08:17","96","0","38000","36"
"70621256","ID072","9.82091E+14","1706","2022/11/12 08:19","367","0","39000","204"
"70639209","ID084","9.82091E+14","1706","2022/11/12 08:26","1149","0","42500","261"
"70639209","ID084","9.82091E+14","1706","2022/11/12 08:49","1195","0","43000","287"
"70639121","ID064","982091101339121a","1706","2022/11/12 09:11","1482","0","37500","525"
"70634874","ID065","9.82091E+14","1706","2022/11/12 09:36","237","0","38000","75"
"70639192","ID038","9.82091E+14","1706","2022/11/12 09:41","569","0","42500","144"
"70639170","ID016","9.82091E+14","1706","2022/11/12 09:53","481","0","40000","127"
"70639120","ID013","9.82091E+14","1706","2022/11/12 10:11","497","0","34500","168"
"70632844","ID039","9.82091E+14","1706","2022/11/12 10:20","547","0","34000","295"
"70621256","ID072","9.82091E+14","1706","2022/11/12 10:30","272","0","39000","123"
"70634874","ID065","9.82091E+14","1706","2022/11/12 10:35","105","0","54000","13"
"70639120","ID013","9.82091E+14","1706","2022/11/12 10:38","296","0","34500","54"
"70639192","ID038","9.82091E+14","1706","2022/11/12 10:43","1098","0","43000","392"
"70634874","ID065","9.82091E+14","1706","2022/11/12 11:02","331","0","38500","60"
